iter	Passed	Remaining
732	1321	481
733	1323	479
734	1324	477
735	1326	475
736	1328	474
737	1330	472
738	1332	470
739	1334	468
740	1335	466
741	1337	465
742	1339	463
743	1341	461
744	1343	459
745	1345	458
746	1347	456
747	1349	454
748	1351	452
749	1353	451
750	1354	449
751	1356	447
752	1358	445
753	1360	443
754	1362	442
755	1364	440
756	1366	438
757	1368	436
758	1369	434
759	1372	433
760	1373	431
761	1375	429
762	1377	427
763	1379	426
764	1381	424
765	1383	422
766	1385	420
767	1387	419
768	1388	417
769	1390	415
770	1392	413
771	1394	411
772	1396	409
773	1398	408
774	1400	406
775	1402	404
776	1404	403
777	1406	401
778	1408	399
779	1411	398
780	1413	396
781	1415	394
782	1417	392
783	1419	391
784	1421	389
785	1423	387
786	1425	385
787	1427	384
788	1430	382
789	1432	380
790	1434	378
791	1436	377
792	1437	375
793	1439	373
794	1441	371
795	1443	370
796	1445	368
797	1447	366
798	1449	364
799	1451	362
800	1453	361
801	1456	359
802	1458	357
803	1460	355
804	1462	354
805	1463	352
806	1465	350
807	1468	348
808	1469	347
809	1471	345
810	1474	343
811	1475	341
812	1477	339
813	1479	338
814	1481	336
815	1483	334
816	1486	332
817	1488	331
818	1490	329
819	1492	327
820	1494	325
821	1496	324
822	1498	322
823	1500	320
824	1502	318
825	1504	316
826	1506	315
827	1508	313
828	1510	311
829	1512	309
830	1515	308
831	1517	306
832	1519	304
833	1521	302
834	1523	300
835	1525	299
836	1527	297
837	1529	295
838	1531	293
839	1533	292
840	1535	290
841	1537	288
842	1539	286
843	1541	284
844	1544	283
845	1546	281
846	1548	279
847	1550	277
848	1552	276
849	1554	274
850	1556	272
851	1558	270
852	1560	268
853	1563	267
854	1565	265
855	1567	263
856	1570	261
857	1572	260
858	1574	258
859	1576	256
860	1578	254
861	1580	253
862	1583	251
863	1585	249
864	1586	247
865	1589	245
866	1591	244
867	1593	242
868	1595	240
869	1597	238
870	1599	236
871	1601	235
872	1604	233
873	1606	231
874	1608	229
875	1610	227
876	1612	226
877	1615	224
878	1617	222
879	1619	220
880	1621	219
881	1623	217
882	1626	215
883	1628	213
884	1630	211
885	1632	210
886	1634	208
887	1636	206
888	1639	204
889	1641	202
890	1643	201
891	1645	199
892	1647	197
893	1649	195
894	1651	193
895	1654	191
896	1656	190
897	1658	188
898	1660	186
899	1662	184
900	1664	182
901	1666	181
902	1668	179
903	1671	177
904	1673	175
905	1675	173
906	1677	171
907	1679	170
908	1680	168
909	1682	166
910	1684	164
911	1686	162
912	1688	160
913	1690	159
914	1692	157
915	1694	155
916	1695	153
917	1697	151
918	1699	149
919	1701	147
920	1703	146
921	1705	144
922	1707	142
923	1709	140
924	1711	138
925	1712	136
926	1714	135
927	1716	133
928	1718	131
929	1720	129
930	1722	127
931	1724	125
932	1726	123
933	1728	122
934	1730	120
935	1731	118
936	1733	116
937	1735	114
938	1737	112
939	1739	111
940	1741	109
941	1743	107
942	1744	105
943	1746	103
944	1748	101
945	1750	99
946	1752	98
947	1754	96
948	1756	94
949	1758	92
950	1759	90
951	1761	88
952	1763	86
953	1765	85
954	1767	83
955	1769	81
956	1770	79
957	1772	77
958	1774	75
959	1776	74
960	1778	72
961	1779	70
962	1781	68
963	1783	66
964	1785	64
965	1787	62
966	1789	61
967	1791	59
968	1793	57
969	1795	55
970	1797	53
971	1799	51
972	1801	49
973	1803	48
974	1804	46
975	1807	44
976	1808	42
977	1810	40
978	1812	38
979	1814	37
980	1816	35
981	1818	33
982	1820	31
983	1821	29
984	1823	27
985	1825	25
986	1827	24
987	1829	22
988	1831	20
989	1833	18
990	1835	16
991	1836	14
992	1839	12
993	1841	11
994	1842	9
995	1844	7
996	1846	5
997	1848	3
998	1850	1
999	1852	0
